Tweet,Sentiment
@GGGTini Buy all bitcoin,1
"@cbsondock @mesabeats @coloradotravis I implied that bitcoin can cause deflationary impulses; not sound money. If the real rate is set by market influences, than how does sound money create the real rate? That is contradictory.",-1
@cbsondock @Benedict_ARNY What is backing up bitcoin? It’s value is based off of a failing monetary system. But when the fiat system crashes what is holding up bitcoin? It’s not backed by gold or silver it’s just pixels on a screen and backed by the same fiat dollars that are crashing.,-1
"Jim Cramer saying weak year for Bitcoin, another confirmation for bull ",1
Bitcoin’s Correlation to Tech Stocks is Hitting Record Levels By CoinEdition,-1
Bitcoin Miners Are Split on When the Bear Market Will Fade Into Bull -  ,-1
Nassim Taleb Calls Bitcoin Detector of Imbeciles,-1
Bitcoin looking bullish on the lower timeframes after flipping 16.7k  If bulls manage to break &amp; hold 17k &amp; I think we go for 17.6k ✍️ ,1
"Ukrainian pharmacies enable  payments, with a major local chain enabling payments in  like Bitcoin",1
The reality is that Bitcoin grants far more sovereignty to such nations that effectively have adopted USD as their national currency. These nations often don't share US geopolitical views and have different (often opposite) monetary policy needs. ,1
The Great Reset and The Rise of Bitcoin | Bitcoin Explained | Monetary S...  via @YouTube,1
BREAKING: Cryptocurrency exchange Coinbase has reached a $100M settlement with New York regulators Bitcoin,-1
"A Viral Solana-Based Memecoin Is Up 2,500% Despite The Brutal Bitcoin And Ethereum Crypto Price Winter  ",1
Taleb sold at 35k long before new ATH in 2021- he’s so smart and full of his own bullshit he can’t support something like bitcoin which doesn’t need him. he was and is wrong about bitcoin. Bitcoin helped expose this pompous intellectual fraud. ,-1
@esatoshiclub Bitcoin is taking over the whole world,1
Bitcoin turned 14 y/o yesterday. Let's gift the Bitcoin  and buy more!🎁,1
"FIAT don't hold their value, but at least they are a currency, Bitcoin doesn't hold its value and is not a currency, is an investment.",1
@cryptoadam10000 @Leerzeit @MarketsMickle Bitcoin is a ponzi scheme. Old slow expensive useless tech. Zero use case; was supposed to replace the banks then conned people into thinking it was digital gold. Good luck finding another sucker to buy you out.,-1
Bitcoin is simple. Anyone can use it! ,1
Bitcoin deserves better critics.. ,1
"BITCOIN PRICE PREDICTIONPRICE : RISE⤴ in 60 min.BUY 0.297 BTC for $16,831.2 apiece on BinanceTarget price : $17,167.82Amount: $4,999Bitcoin    is today's accumulated profits ",1
"Bitcoin Price Plays Catch-Up, Why $28,000 Is A Key Level -      &lt;----JOIN ",-1
@BTCKindergarten Bitcoin is decentralized governance.,1
I can't stop thinking about Bitcoin 🤯Patience and WAGMI 🚀🧡,1
"Major Ukrainian Pharmacy Chain Enables Bitcoin Payments | Bitcoin Magazine - Bitcoin News, Articles and Expert Insights   🇺🇦  ",1
BlackRock Lends $17 Million To Bankrupt Bitcoin Miner Core Scientific  @TheBullArtist   ,-1
"On Jan. 3, 2023, the former  CEO Sam Bankman-Fried  pleaded not guilty to eight criminal charges at the courthouse in Manhattan.And SBF said it was not involved in any wallets linked to Alameda being disbursed.Bitcoin  ",-1
"I wired money to a new bank account yesterdayFunds have not arrived, despite meeting cutoff timelinesI am more nervous about this than I ever was sending BitcoinInteresting",1
@PeterSchiff Bitcoin solves this.,1
    Bitcoin      Solana interest grows as price eyes a bullish push after weekly 40% gains ,1
"Coinbase reaches $100M settlement with NY regulators - by [Cointelegraph By Turner Wright on January 04, 2023 at 08:45PM]Link : [  bitcoin   ",-1
    Bitcoin      Solana interest grows as price eyes a bullish push after weekly 40% gains ,1
"Here’s how Bitcoin promotes global financial inclusion, according to Prince Philip of Serbia - by [Cointelegraph By   Gareth Jenkinson   on January 04, 2023 at 08:30PM]Link : [  bitcoin   ",1
"I would definitely get one if the price of electricity in germany were not so incredibly high. 😪For 1,200 USD, you can heat the room and mine Bitcoin. The Bitcoins bring in about 30 USD per month at a BTC price of 20,000 USD. bitcoin ",-1
@NoomDynamite @marcwparrish @SimplyBitcoinTV Why use another token as a layer on top of bitcoin when theres bitcoin?..,1
"@BullTradeFinder More revealing, watch when US10Y moves over 3.72 (3.75 alert) and Bitcoin breaks 16,600 (16.5 alert)",-1
bitcoin literally fixed this. ,1
"Max num of Bitcoin that can be mined is 21MM. This limit was implemented by Bitcoin’s founder to mimic the world’s limited supply of gold - which, unlike paper money, can not be extended by govts. A little over 19MM Bitcoin has been mined.What happens when we reach that limit?",1
stocks dont look strong. i expect crypto to follow Bitcoin,-1
BREAKING: Bitcoin is at a 75% discount right now Did you buy yours already? 👀,1
@leadlagreport Crypto stablecoins were the only thing propping up the relative value of the dollar. They were literally selling 100s of millions of fake Bitcoin against retail. Deflation is the equivalent of a crypto token burn mechanism.,-1
Bitcoin is breaking out.. Bitcoin,1
"BITCOIN FELL!USD $16,810.47 (-0,17%)Yesterday: +0,86%Last 30 days: -1,74%bitcoin",-1
"@SpencerKSchiff @PeterSchiff Mainly because gold has stagnated in value against fiat for the past 12 years, meaning holding gold has actually lost against inflation &amp; reduced PP of the USD/EUR/GBP, while Bitcoin has increased in value &gt; 5 Million X. For Bitcoin appreciated in value far too much to be gold.",1
Bitcoin dives to 18-month low after DeFi lender Celsius blows up  $TTC ,-1
Long Bitcoin up to $18k. 🤝Short SOL to $3.  ,1
"@maxkeiser America offered me crumbs, rejection and no future. Thats why I love -Bitcoin   gonna build our own world and create our own wealth. Be a big success and the collapsed dump that rejected us will probably get hyperinflated",1
"Bitcoin Volatility At 2.5-Year Low, Market Boredom Continues ",-1
